shot_index,frame_file,start_time,duration,end_time,purpose
188,frames/frame-188.png,388.041,1.916,389.957,Visual beat 188
189,frames/frame-189.png,389.957,1.876,391.833,Visual beat 189
190,frames/frame-190.png,391.833,2.052,393.885,Visual beat 190
191,frames/frame-191.png,393.885,2.033,395.918,Visual beat 191
192,frames/frame-192.png,395.918,1.936,397.854,Visual beat 192
193,frames/frame-193.png,397.854,1.917,399.771,Visual beat 193
194,frames/frame-194.png,399.771,2.374,402.145,Visual beat 194
195,frames/frame-195.png,402.145,2.048,404.193,Visual beat 195
196,frames/frame-196.png,404.193,2.332,406.525,Visual beat 196
197,frames/frame-197.png,406.525,2.121,408.646,Visual beat 197
198,frames/frame-198.png,408.646,1.781,410.427,Visual beat 198
199,frames/frame-199.png,410.427,2.426,412.853,Visual beat 199
200,frames/frame-200.png,412.853,2.315,415.168,Visual beat 200
201,frames/frame-201.png,415.168,2.405,417.573,Visual beat 201
202,frames/frame-202.png,417.573,2.376,419.949,Visual beat 202
203,frames/frame-203.png,419.949,2.323,422.272,Visual beat 203
204,frames/frame-204.png,422.272,1.860,424.132,Visual beat 204
205,frames/frame-205.png,424.132,2.077,426.209,Visual beat 205
206,frames/frame-206.png,426.209,1.892,428.101,Visual beat 206
207,frames/frame-207.png,428.101,2.019,430.120,Visual beat 207
208,frames/frame-208.png,430.120,1.787,431.907,Visual beat 208
209,frames/frame-209.png,431.907,2.004,433.911,Visual beat 209
210,frames/frame-210.png,433.911,2.416,436.327,Visual beat 210
211,frames/frame-211.png,436.327,1.927,438.254,Visual beat 211
212,frames/frame-212.png,438.254,2.280,440.534,Visual beat 212
213,frames/frame-213.png,440.534,2.056,442.590,Visual beat 213
214,frames/frame-214.png,442.590,2.034,444.624,Visual beat 214
215,frames/frame-215.png,444.624,2.397,447.021,Visual beat 215
216,frames/frame-216.png,447.021,2.423,449.444,Visual beat 216
217,frames/frame-217.png,449.444,2.124,451.568,Visual beat 217
218,frames/frame-218.png,451.568,2.235,453.803,Visual beat 218
219,frames/frame-219.png,453.803,1.852,455.655,Visual beat 219
220,frames/frame-220.png,455.655,1.948,457.603,Visual beat 220
221,frames/frame-221.png,457.603,2.405,460.008,Visual beat 221
222,frames/frame-222.png,460.008,2.140,462.148,Visual beat 222
223,frames/frame-223.png,462.148,2.115,464.263,Visual beat 223
224,frames/frame-224.png,464.263,2.255,466.518,Visual beat 224
225,frames/frame-225.png,466.518,1.786,468.304,Visual beat 225
226,frames/frame-226.png,468.304,2.144,470.448,Visual beat 226
227,frames/frame-227.png,470.448,2.088,472.536,Visual beat 227
228,frames/frame-228.png,472.536,2.326,474.862,Visual beat 228
229,frames/frame-229.png,474.862,1.854,476.716,Visual beat 229
230,frames/frame-230.png,476.716,2.400,479.116,Visual beat 230
231,frames/frame-231.png,479.116,1.801,480.917,Visual beat 231
232,frames/frame-232.png,480.917,1.873,482.790,Visual beat 232
233,frames/frame-233.png,482.790,2.151,484.941,Visual beat 233
234,frames/frame-234.png,484.941,2.206,487.147,Visual beat 234
235,frames/frame-235.png,487.147,1.907,489.054,Visual beat 235
236,frames/frame-236.png,489.054,1.828,490.882,Visual beat 236
237,frames/frame-237.png,490.882,2.352,493.234,Visual beat 237
238,frames/frame-238.png,493.234,1.914,495.148,Visual beat 238
239,frames/frame-239.png,495.148,2.151,497.299,Visual beat 239
240,frames/frame-240.png,497.299,2.168,499.467,Visual beat 240
241,frames/frame-241.png,499.467,2.032,501.499,Visual beat 241
242,frames/frame-242.png,501.499,2.143,503.642,Visual beat 242
243,frames/frame-243.png,503.642,2.102,505.744,Visual beat 243
244,frames/frame-244.png,505.744,2.382,508.126,Visual beat 244
245,frames/frame-245.png,508.126,1.886,510.012,Visual beat 245
246,frames/frame-246.png,510.012,2.233,512.245,Visual beat 246
247,frames/frame-247.png,512.245,1.909,514.154,Visual beat 247
248,frames/frame-248.png,514.154,2.016,516.170,Visual beat 248
249,frames/frame-249.png,516.170,2.203,518.373,Visual beat 249
250,frames/frame-250.png,518.373,1.951,520.324,Visual beat 250
251,frames/frame-251.png,520.324,1.962,522.286,Visual beat 251
252,frames/frame-252.png,522.286,2.258,524.544,Visual beat 252
